Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
01/01/2024,"105,714583","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71","105,71"
02/01/2024,"107,297500","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30","107,30"
03/01/2024,"94,006008","93,50","94,48","91,21","94,48","94,48","94,48","94,48","94,48","91,21","94,48","94,48","91,21","94,48","91,21","94,48","94,48","94,48","94,48","91,21","94,48","91,21","94,48"
04/01/2024,"91,171742","90,79","91,60","88,63","91,60","91,60","91,60","91,60","91,60","88,63","91,60","91,60","88,63","91,60","88,63","91,60","91,60","91,60","91,60","88,63","91,60","88,63","91,60"
05/01/2024,"104,054390","103,97","104,08","103,70","104,08","104,08","104,08","104,08","104,08","104,08","104,08","104,08","103,70","104,08","104,08","104,08","104,08","104,08","104,08","103,70","104,08","104,08","104,08"
06/01/2024,"100,735416","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74","100,74"
07/01/2024,"97,112140","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11","97,11"
08/01/2024,"108,112292","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11","108,11"
09/01/2024,"108,683182","108,68","108,74","107,93","108,74","108,74","108,74","108,74","108,74","108,74","108,74","108,74","107,98","108,74","108,74","108,74","108,74","108,74","108,74","107,98","108,74","108,74","108,74"
10/01/2024,"113,258640","113,24","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26","113,26"
11/01/2024,"108,335659","108,36","108,34","108,27","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,34","108,27","108,34","108,34","108,34","108,34","108,34","108,34","108,27","108,34","108,34","108,34"
12/01/2024,"110,111147","109,89","110,45","109,09","110,45","109,63","110,45","109,63","110,45","109,09","110,45","109,63","109,09","110,45","109,09","110,45","110,45","110,45","110,45","109,09","109,63","109,09","110,45"
13/01/2024,"99,790939","99,93","99,23","100,68","99,23","100,68","99,23","100,68","99,23","100,68","99,23","100,68","100,68","99,23","100,68","99,23","99,23","99,23","99,23","100,68","100,68","100,68","99,23"
14/01/2024,"104,187083","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19","104,19"
15/01/2024,"100,955664","100,96","101,06","100,72","101,06","100,75","101,06","100,75","101,06","100,72","101,06","100,75","100,72","101,06","100,72","101,06","101,06","101,06","101,06","100,72","100,75","100,72","101,06"
16/01/2024,"107,472311","107,31","107,96","100,62","107,96","107,96","107,96","107,96","107,96","107,96","107,96","107,96","100,62","107,96","107,96","107,96","107,96","107,96","107,96","100,62","107,96","107,96","107,96"
17/01/2024,"101,776430","101,42","101,99","98,55","101,99","101,99","101,99","101,99","101,99","101,99","101,99","101,99","98,55","101,99","101,99","101,99","101,99","101,99","101,99","98,55","101,99","101,99","101,99"
18/01/2024,"97,411550","98,22","99,21","92,41","99,21","82,38","99,21","96,03","99,21","92,41","99,21","82,38","92,41","99,21","92,41","99,21","99,21","99,21","99,21","92,41","96,03","92,41","99,21"
19/01/2024,"92,585191","92,67","92,79","92,14","92,79","92,14","92,79","92,14","92,79","92,14","92,79","92,14","92,14","92,79","92,14","92,79","92,79","92,79","92,79","92,14","92,14","92,14","92,79"
20/01/2024,"89,570000","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57","89,57"
21/01/2024,"83,366060","84,03","84,51","81,48","84,51","81,48","84,51","81,48","84,51","81,48","84,51","81,48","81,48","84,51","81,48","84,51","84,51","84,51","84,51","81,48","81,48","81,48","84,51"
22/01/2024,"102,116257","102,03","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12","102,12"
