Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
01/01/2024,"555.640,768","0,000","13.586,058","46.308,917","236,000","1.128,000","103.968,302","0,000","0,000","277.060,709","19.762,882","37.651,485","0,000","37.308,413","150,000","12.934,300","0,000","3.600,000","1.320,376","593,750","31,476","0,000","555.640,668"
02/01/2024,"683.786,325","0,000","15.065,841","60.263,600","1.417,000","1.075,000","124.893,454","0,000","0,000","351.163,473","21.837,112","42.974,972","0,000","43.900,873","175,000","14.680,000","0,000","3.990,000","1.965,000","385,000","0,000","0,000","683.786,325"
03/01/2024,"713.925,220","0,000","15.524,203","63.793,474","1.764,000","1.101,000","131.027,260","0,000","0,000","367.703,356","22.736,994","43.799,981","0,000","46.116,275","225,000","13.184,800","0,000","3.474,000","2.330,000","755,000","0,000","0,000","713.535,343"
04/01/2024,"704.274,125","0,000","15.420,782","63.008,160","1.505,000","1.128,000","130.340,747","0,000","0,000","370.059,147","22.014,228","44.107,636","0,000","46.100,042","175,000","4.318,600","0,000","1.162,000","3.853,000","531,250","118,081","0,000","703.841,673"
05/01/2024,"706.920,173","0,000","15.178,332","62.484,096","2.031,000","1.127,000","128.759,562","0,000","0,000","371.238,082","22.198,197","41.936,284","0,000","45.645,464","531,153","10.431,600","0,000","800,000","3.955,000","425,000","151,004","0,000","706.891,774"
06/01/2024,"595.797,976","0,000","13.615,923","51.186,677","2.150,000","1.128,000","111.852,489","0,000","0,000","308.967,799","20.970,039","40.345,238","0,000","39.846,511","326,250","338,800","0,000","1.000,000","3.989,000","81,250","0,000","0,000","595.797,976"
07/01/2024,"600.816,046","0,000","13.997,700","51.813,066","2.186,000","1.128,000","113.583,167","0,000","0,000","310.657,862","20.859,334","40.356,589","0,000","39.832,510","1.281,718","0,000","0,000","400,000","3.728,000","992,500","0,000","0,000","600.816,446"
08/01/2024,"803.261,694","0,000","15.422,136","70.302,006","1.764,000","1.002,000","141.240,350","0,000","0,000","451.396,524","22.656,721","45.046,232","0,000","47.558,921","1.695,104","1.642,200","0,000","0,000","2.978,000","557,500","0,000","0,000","803.261,694"
09/01/2024,"870.288,385","0,000","15.651,685","73.639,741","2.165,000","1.128,000","148.134,432","0,000","0,000","488.969,826","23.563,023","46.041,959","0,000","49.585,831","6.183,000","6.366,300","0,000","1.598,000","2.024,000","1.381,500","3.837,744","0,000","870.270,041"
10/01/2024,"871.982,840","0,000","16.053,642","74.447,254","2.016,000","1.128,000","149.536,692","0,000","0,000","493.407,968","23.812,690","45.694,020","0,000","50.561,031","5.589,250","4.052,600","0,000","1.054,000","2.378,000","746,000","1.505,791","0,000","871.982,938"
11/01/2024,"869.165,243","0,000","16.243,850","75.702,350","1.952,000","1.128,000","150.255,381","0,000","0,000","486.420,575","24.152,132","46.235,889","0,000","51.265,398","1.243,321","4.134,200","0,000","925,000","2.530,000","2.347,000","4.595,118","0,000","869.130,214"
12/01/2024,"854.816,691","0,000","16.091,064","72.555,880","1.875,000","1.128,000","148.667,499","0,000","0,000","487.307,013","23.977,076","46.153,850","0,000","50.334,327","394,750","0,000","0,000","0,000","2.811,455","2.407,000","1.172,348","0,000","854.875,262"
13/01/2024,"740.926,617","0,000","15.390,769","61.172,906","1.913,000","1.128,000","134.244,913","0,000","0,000","404.244,412","23.247,519","44.116,432","0,000","47.934,416","1.953,877","285,000","0,000","0,000","2.106,000","227,250","2.784,873","0,000","740.749,367"
14/01/2024,"676.288,605","0,000","14.902,101","55.470,815","2.133,000","1.053,000","126.457,913","0,000","0,000","362.741,775","22.476,722","42.968,359","0,000","44.409,635","321,250","0,000","0,000","0,000","2.735,000","112,000","507,035","0,000","676.288,605"
15/01/2024,"849.376,332","0,000","16.101,558","72.748,422","1.959,000","1.048,000","145.560,526","0,000","0,000","483.095,570","23.591,797","45.707,443","0,000","50.095,103","5.827,176","1.360,000","0,000","200,000","0,000","782,500","1.000,000","0,000","849.077,095"
16/01/2024,"876.609,261","0,000","15.848,255","74.162,627","1.934,000","1.060,000","147.710,930","0,000","0,000","498.420,765","23.995,002","45.280,225","0,000","49.302,166","3.081,500","6.992,100","0,000","1.182,000","2.522,000","866,000","4.156,567","0,000","876.514,137"
17/01/2024,"899.374,853","0,000","15.762,655","74.654,307","2.210,000","991,000","148.860,818","0,000","0,000","510.345,653","23.878,029","45.060,039","0,000","49.671,156","3.998,583","6.263,000","0,000","1.480,000","2.070,000","3.917,500","9.497,801","0,000","898.660,541"
18/01/2024,"859.852,717","0,000","15.297,151","71.961,250","1.533,000","988,000","144.899,986","0,000","0,000","496.077,698","23.389,249","43.922,848","0,000","49.015,239","621,000","3.162,400","0,000","1.058,000","1.473,120","3.092,500","3.738,545","0,000","860.229,986"
19/01/2024,"862.049,600","0,000","15.426,169","73.769,984","1.721,000","1.030,000","145.587,739","0,000","0,000","499.446,447","23.588,967","44.693,702","0,000","49.164,013","5.134,665","0,000","0,000","0,000","1.680,000","860,500","0,000","0,000","862.103,186"
20/01/2024,"739.545,549","0,000","15.158,879","61.722,132","1.540,000","917,000","134.768,211","0,000","0,000","404.939,743","23.105,664","43.423,952","0,000","48.024,336","1.265,500","0,000","0,000","0,000","988,000","228,500","3.463,632","0,000","739.545,549"
21/01/2024,"682.981,910","0,000","14.833,308","55.428,497","1.795,000","1.001,000","126.121,972","0,000","0,000","364.390,606","22.702,217","41.841,926","0,000","44.691,270","2.457,752","4.311,200","0,000","65,000","1.310,000","1.123,750","605,564","0,000","682.679,062"
22/01/2024,"852.665,967","0,000","16.170,240","72.742,768","1.901,000","1.124,000","149.280,892","0,000","0,000","484.987,987","24.249,141","46.576,856","0,000","50.186,065","892,500","0,000","0,000","0,000","1.699,000","630,000","2.225,518","0,000","852.665,967"
23/01/2024,"877.389,127","0,000","16.247,933","74.180,582","536,000","839,000","149.702,552","0,000","0,000","502.569,698","23.944,747","46.867,018","0,000","51.823,069","916,194","0,000","0,000","0,000","1.522,000","1.267,250","7.180,728","0,000","877.596,771"
24/01/2024,"862.751,444","0,000","15.919,029","72.231,015","1.830,000","983,000","146.972,117","0,000","0,000","500.006,481","23.691,448","45.708,821","0,000","50.318,997","1.572,461","42,900","0,000","0,000","827,000","1.155,500","1.492,706","0,000","862.751,475"
25/01/2024,"854.543,184","0,000","15.571,388","73.023,101","1.880,000","995,000","144.993,134","0,000","0,000","491.409,853","23.229,331","45.261,742","0,000","50.064,741","1.310,180","0,000","0,000","0,000","2.148,000","951,000","3.908,435","0,000","854.745,905"
26/01/2024,"844.483,588","0,000","15.521,130","71.168,032","1.896,000","996,000","144.198,069","0,000","0,000","487.910,849","23.316,299","45.869,922","0,000","50.067,607","697,500","0,000","0,000","0,000","1.995,000","736,000","111,180","0,000","844.483,588"
27/01/2024,"723.968,594","0,000","14.996,684","58.847,570","1.829,000","965,000","129.764,644","0,000","0,000","398.907,750","22.440,760","43.369,517","0,000","47.759,209","375,000","0,000","0,000","0,000","2.724,000","725,000","1.264,660","0,000","723.968,794"
28/01/2024,"669.671,740","0,000","14.168,756","53.172,320","1.737,000","955,000","120.224,812","0,000","0,000","360.384,033","21.526,158","40.930,236","0,000","43.312,339","928,750","5.197,000","0,000","2.293,000","3.488,000","1.031,250","323,086","0,000","669.671,740"
29/01/2024,"850.679,606","0,000","15.705,243","71.613,212","1.803,000","1.052,000","146.255,908","0,000","0,000","487.825,658","23.502,751","45.897,524","0,000","51.794,465","1.380,500","0,000","0,000","0,000","2.569,000","991,000","249,345","0,000","850.639,606"
30/01/2024,"867.583,393","0,000","15.841,174","73.650,147","2.009,000","1.009,000","147.187,475","0,000","0,000","502.025,283","23.391,211","47.576,012","0,000","50.857,841","1.027,500","0,000","0,000","0,000","2.083,000","925,750","0,000","0,000","867.583,393"
31/01/2024,"872.145,265","0,000","15.840,264","74.396,939","2.084,000","890,000","146.928,984","0,000","0,000","504.235,952","24.269,460","47.158,562","0,000","51.299,010","928,750","0,000","0,000","0,000","2.309,000","567,500","1.236,504","0,000","872.144,925"
01/02/2024,"871.749,744","0,000","15.864,868","74.596,354","2.175,000","1.050,000","147.410,517","0,000","0,000","502.363,978","24.194,872","46.390,653","0,000","50.604,201","895,000","0,000","0,000","0,000","2.017,633","365,500","3.821,168","0,000","871.749,744"
02/02/2024,"852.492,648","0,000","15.595,323","71.573,812","1.925,000","1.022,000","144.308,009","0,000","0,000","492.969,240","23.534,309","47.543,268","0,000","49.522,877","744,331","0,000","0,000","0,000","2.523,000","661,250","721,102","0,000","852.643,521"
03/02/2024,"717.295,184","0,000","15.006,476","57.326,426","1.786,000","976,000","128.224,166","0,000","0,000","393.763,782","22.532,272","44.675,613","0,000","46.286,238","705,000","1.455,500","0,000","35,000","3.707,000","496,000","333,022","0,000","717.308,495"
04/02/2024,"655.176,148","0,000","13.896,708","51.820,680","1.675,000","967,000","117.373,686","0,000","0,000","349.472,549","21.494,187","41.373,116","0,000","41.458,693","151,250","9.839,900","0,000","1.621,000","3.290,000","725,000","17,379","0,000","655.176,148"
05/02/2024,"820.807,814","0,000","15.266,650","68.754,990","1.855,000","995,000","141.312,471","0,000","0,000","471.528,600","23.421,965","44.641,955","0,000","48.132,931","371,500","1.982,000","0,000","0,000","2.095,000","50,000","423,752","0,000","820.831,814"
06/02/2024,"842.388,958","0,000","15.168,377","71.401,143","1.967,000","1.010,000","142.023,125","0,000","0,000","490.646,881","23.187,930","44.393,885","0,000","49.025,875","6,000","0,000","0,000","0,000","1.486,000","170,000","2.064,633","0,000","842.550,849"
