Data,Ora,MWh
01/01/2024,1,"826,621"
01/01/2024,2,"701,972"
01/01/2024,3,"590,023"
01/01/2024,4,"491,782"
01/01/2024,5,"437,362"
01/01/2024,6,"430,908"
01/01/2024,7,"345,326"
01/01/2024,8,"500,611"
01/01/2024,9,"496,053"
01/01/2024,10,"484,225"
01/01/2024,11,"405,713"
01/01/2024,12,"351,686"
01/01/2024,13,"205,202"
01/01/2024,14,"110,381"
01/01/2024,15,"130,311"
01/01/2024,16,"431,723"
01/01/2024,17,"567,358"
01/01/2024,18,"157,222"
01/01/2024,19,"127,050"
01/01/2024,20,"277,732"
01/01/2024,21,"406,621"
01/01/2024,22,"342,058"
01/01/2024,23,"200,186"
01/01/2024,24,"493,061"
02/01/2024,1,"539,455"
02/01/2024,2,"420,090"
02/01/2024,3,"345,189"
02/01/2024,4,"318,340"
02/01/2024,5,"332,033"
02/01/2024,6,"414,775"
02/01/2024,7,"299,676"
02/01/2024,8,"131,206"
02/01/2024,9,"181,428"
02/01/2024,10,"185,237"
02/01/2024,11,"-55,088"
02/01/2024,12,"233,220"
02/01/2024,13,"463,658"
02/01/2024,14,"447,340"
02/01/2024,15,"129,916"
02/01/2024,16,"78,113"
02/01/2024,17,"363,950"
02/01/2024,18,"634,043"
02/01/2024,19,"682,815"
02/01/2024,20,"797,983"
02/01/2024,21,"807,043"
02/01/2024,22,"915,753"
02/01/2024,23,"1.124,305"
02/01/2024,24,"1.028,587"
03/01/2024,1,"677,907"
03/01/2024,2,"527,603"
03/01/2024,3,"468,021"
03/01/2024,4,"388,454"
03/01/2024,5,"338,288"
03/01/2024,6,"303,811"
03/01/2024,7,"452,310"
03/01/2024,8,"6,741"
03/01/2024,9,"-46,850"
03/01/2024,10,"626,057"
03/01/2024,11,"258,722"
03/01/2024,12,"164,250"
03/01/2024,13,"-27,058"
03/01/2024,14,"-7,962"
03/01/2024,15,"170,002"
03/01/2024,16,"451,657"
03/01/2024,17,"359,585"
03/01/2024,18,"358,517"
03/01/2024,19,"397,571"
03/01/2024,20,"439,668"
03/01/2024,21,"378,472"
03/01/2024,22,"852,652"
03/01/2024,23,"618,637"
03/01/2024,24,"454,352"
04/01/2024,1,"256,781"
04/01/2024,2,"111,554"
04/01/2024,3,"23,441"
04/01/2024,4,"-2,731"
04/01/2024,5,"31,491"
04/01/2024,6,"173,102"
04/01/2024,7,"314,704"
04/01/2024,8,"156,918"
04/01/2024,9,"534,902"
04/01/2024,10,"761,731"
04/01/2024,11,"577,012"
04/01/2024,12,"438,535"
04/01/2024,13,"381,671"
04/01/2024,14,"356,717"
04/01/2024,15,"468,050"
04/01/2024,16,"564,192"
04/01/2024,17,"444,333"
04/01/2024,18,"808,091"
04/01/2024,19,"848,610"
04/01/2024,20,"948,303"
04/01/2024,21,"926,695"
04/01/2024,22,"717,028"
04/01/2024,23,"1.231,183"
04/01/2024,24,"991,338"
05/01/2024,1,"774,754"
05/01/2024,2,"565,817"
05/01/2024,3,"449,402"
05/01/2024,4,"357,839"
05/01/2024,5,"291,603"
05/01/2024,6,"284,572"
05/01/2024,7,"257,019"
05/01/2024,8,"-290,236"
05/01/2024,9,"-200,833"
05/01/2024,10,"-560,244"
05/01/2024,11,"-630,316"
05/01/2024,12,"-778,799"
05/01/2024,13,"-738,153"
05/01/2024,14,"-695,713"
05/01/2024,15,"-687,781"
05/01/2024,16,"-689,694"
05/01/2024,17,"-477,556"
05/01/2024,18,"-150,846"
05/01/2024,19,"-155,796"
05/01/2024,20,"-89,804"
05/01/2024,21,"-170,361"
05/01/2024,22,"265,573"
05/01/2024,23,"45,622"
05/01/2024,24,"-201,770"
06/01/2024,1,"-201,090"
06/01/2024,2,"-310,418"
06/01/2024,3,"-345,422"
06/01/2024,4,"-339,991"
06/01/2024,5,"-339,709"
06/01/2024,6,"-298,452"
06/01/2024,7,"-285,124"
06/01/2024,8,"43,029"
06/01/2024,9,"36,728"
06/01/2024,10,"4,582"
06/01/2024,11,"-51,434"
06/01/2024,12,"-27,083"
06/01/2024,13,"31,258"
06/01/2024,14,"-35,055"
06/01/2024,15,"50,424"
06/01/2024,16,"230,525"
06/01/2024,17,"507,928"
06/01/2024,18,"-21,606"
06/01/2024,19,"-32,919"
06/01/2024,20,"-65,998"
