Data,Ora,MWh
01/01/2024,1,"-359,044"
01/01/2024,2,"-634,724"
01/01/2024,3,"-269,287"
01/01/2024,4,"-414,897"
01/01/2024,5,"-504,998"
01/01/2024,6,"-850,018"
01/01/2024,7,"-1.122,575"
01/01/2024,8,"-1.240,771"
01/01/2024,9,"-1.169,364"
01/01/2024,10,"-1.559,430"
01/01/2024,11,"-1.975,562"
01/01/2024,12,"-1.813,871"
01/01/2024,13,"-1.785,619"
01/01/2024,14,"-1.841,018"
01/01/2024,15,"-1.414,871"
01/01/2024,16,"-1.443,303"
01/01/2024,17,"-262,500"
01/01/2024,18,"-154,200"
01/01/2024,19,"119,422"
01/01/2024,20,"462,981"
01/01/2024,21,"93,232"
01/01/2024,22,"10,829"
01/01/2024,23,"-374,662"
01/01/2024,24,"-601,882"
02/01/2024,1,"-288,004"
02/01/2024,2,"-581,176"
02/01/2024,3,"-639,753"
02/01/2024,4,"-692,285"
02/01/2024,5,"-589,800"
02/01/2024,6,"-563,027"
02/01/2024,7,"-810,809"
02/01/2024,8,"-74,914"
02/01/2024,9,"-238,815"
02/01/2024,10,"-817,490"
02/01/2024,11,"-1.518,561"
02/01/2024,12,"-2.153,120"
02/01/2024,13,"-2.165,203"
02/01/2024,14,"-2.460,024"
02/01/2024,15,"-2.032,836"
02/01/2024,16,"-1.435,455"
02/01/2024,17,"-334,057"
02/01/2024,18,"35,624"
02/01/2024,19,"138,740"
02/01/2024,20,"8,021"
02/01/2024,21,"90,684"
02/01/2024,22,"-614,532"
02/01/2024,23,"-1.057,700"
02/01/2024,24,"-757,536"
03/01/2024,1,"-1.054,158"
03/01/2024,2,"-1.470,561"
03/01/2024,3,"-1.818,857"
03/01/2024,4,"-2.111,008"
03/01/2024,5,"-2.235,675"
03/01/2024,6,"-2.368,273"
03/01/2024,7,"-2.087,536"
03/01/2024,8,"-2.020,893"
03/01/2024,9,"-1.785,376"
03/01/2024,10,"-1.744,669"
03/01/2024,11,"-1.986,878"
03/01/2024,12,"-2.276,288"
03/01/2024,13,"-2.144,548"
03/01/2024,14,"-2.253,583"
03/01/2024,15,"-2.014,591"
03/01/2024,16,"-1.910,927"
03/01/2024,17,"-1.588,749"
03/01/2024,18,"-1.109,857"
03/01/2024,19,"-1.132,685"
03/01/2024,20,"-826,252"
03/01/2024,21,"-1.026,276"
03/01/2024,22,"-1.194,615"
03/01/2024,23,"-886,736"
03/01/2024,24,"-911,530"
04/01/2024,1,"-1.670,577"
04/01/2024,2,"-1.781,798"
04/01/2024,3,"-2.307,961"
04/01/2024,4,"-2.222,108"
04/01/2024,5,"-2.008,649"
04/01/2024,6,"-1.761,236"
04/01/2024,7,"-1.635,606"
04/01/2024,8,"-1.115,214"
04/01/2024,9,"-778,862"
04/01/2024,10,"-999,557"
04/01/2024,11,"-1.452,617"
04/01/2024,12,"-1.681,580"
04/01/2024,13,"-1.728,018"
04/01/2024,14,"-2.219,862"
04/01/2024,15,"-1.369,325"
04/01/2024,16,"-616,196"
04/01/2024,17,"428,593"
04/01/2024,18,"1.313,909"
04/01/2024,19,"1.350,009"
04/01/2024,20,"1.791,087"
04/01/2024,21,"1.631,551"
04/01/2024,22,"1.180,792"
04/01/2024,23,"1.259,482"
04/01/2024,24,"1.755,115"
05/01/2024,1,"1.628,005"
05/01/2024,2,"1.081,459"
05/01/2024,3,"942,359"
05/01/2024,4,"1.056,251"
05/01/2024,5,"1.209,866"
05/01/2024,6,"1.371,281"
05/01/2024,7,"510,284"
05/01/2024,8,"690,770"
05/01/2024,9,"-296,983"
05/01/2024,10,"-861,782"
05/01/2024,11,"-1.171,907"
05/01/2024,12,"-506,606"
05/01/2024,13,"-1.013,475"
05/01/2024,14,"-666,103"
05/01/2024,15,"-439,349"
05/01/2024,16,"-203,633"
05/01/2024,17,"664,895"
05/01/2024,18,"730,564"
05/01/2024,19,"467,011"
05/01/2024,20,"791,954"
05/01/2024,21,"1.141,992"
05/01/2024,22,"1.227,772"
05/01/2024,23,"821,680"
05/01/2024,24,"339,786"
06/01/2024,1,"277,017"
06/01/2024,2,"-210,648"
06/01/2024,3,"-553,898"
06/01/2024,4,"-535,482"
06/01/2024,5,"-578,839"
06/01/2024,6,"-358,182"
06/01/2024,7,"-510,422"
06/01/2024,8,"-87,426"
06/01/2024,9,"54,882"
06/01/2024,10,"-84,503"
06/01/2024,11,"-642,936"
06/01/2024,12,"-503,536"
06/01/2024,13,"-414,869"
06/01/2024,14,"-7,072"
06/01/2024,15,"-141,877"
06/01/2024,16,"170,655"
06/01/2024,17,"679,841"
06/01/2024,18,"876,715"
06/01/2024,19,"1.134,922"
06/01/2024,20,"1.064,641"
06/01/2024,21,"1.269,383"
06/01/2024,22,"956,274"
06/01/2024,23,"799,186"
06/01/2024,24,"807,924"
07/01/2024,1,"898,925"
07/01/2024,2,"83,981"
07/01/2024,3,"-361,839"
07/01/2024,4,"-496,696"
07/01/2024,5,"-625,711"
07/01/2024,6,"-428,641"
07/01/2024,7,"-466,194"
07/01/2024,8,"-243,313"
07/01/2024,9,"-83,295"
07/01/2024,10,"83,395"
07/01/2024,11,"-123,578"
07/01/2024,12,"-725,545"
07/01/2024,13,"-718,443"
07/01/2024,14,"-1.306,111"
07/01/2024,15,"-1.612,199"
07/01/2024,16,"-1.024,376"
07/01/2024,17,"-359,726"
07/01/2024,18,"70,721"
07/01/2024,19,"237,211"
07/01/2024,20,"415,157"
07/01/2024,21,"666,285"
07/01/2024,22,"508,896"
07/01/2024,23,"1.017,403"
07/01/2024,24,"179,974"
08/01/2024,1,"301,666"
08/01/2024,2,"16,784"
08/01/2024,3,"-375,866"
08/01/2024,4,"-411,005"
08/01/2024,5,"-507,908"
08/01/2024,6,"-264,705"
08/01/2024,7,"402,680"
08/01/2024,8,"643,858"
08/01/2024,9,"231,278"
08/01/2024,10,"114,925"
08/01/2024,11,"-371,161"
08/01/2024,12,"-785,932"
08/01/2024,13,"-270,763"
08/01/2024,14,"-122,437"
08/01/2024,15,"-931,818"
