Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
01/01/2024,"30.959,644","0,000","372,872","985,118","0,000","0,000","6.658,023","0,000","0,000","21.443,698","457,376","1.382,555","0,000","7.334,131","840,000","0,000","0,000","0,000","0,000","336,250","49,811","0,000","39.859,834"
02/01/2024,"34.340,495","0,000","592,074","2.090,520","0,000","0,000","6.942,282","0,000","0,000","21.565,206","1.852,331","2.428,642","0,000","5.058,801","959,153","0,000","0,000","0,000","33,000","245,023","12,783","0,000","41.779,815"
03/01/2024,"34.246,175","0,000","1.435,158","3.568,018","0,000","0,000","2.789,213","0,000","0,000","23.632,689","1.829,597","6.745,780","0,000","7.287,533","756,981","0,000","0,000","0,000","253,000","25,750","129,176","0,000","48.452,895"
04/01/2024,"32.993,128","0,000","510,476","2.512,700","0,000","0,000","2.862,750","0,000","0,000","26.574,382","738,214","2.810,439","0,000","5.863,374","2.112,961","9,100","0,000","0,000","13,000","217,250","266,964","0,000","44.491,610"
05/01/2024,"33.275,367","0,000","480,778","5.925,783","0,000","0,000","9.474,655","0,000","0,000","21.395,923","418,466","1.515,666","0,000","6.170,767","915,347","0,000","0,000","0,000","0,000","55,000","6,966","0,000","46.359,351"
06/01/2024,"26.304,331","0,000","1.071,685","1.634,114","0,000","0,000","3.136,993","0,000","0,000","14.154,029","1.195,311","2.576,637","0,000","3.207,552","357,500","19,500","0,000","0,000","0,000","55,000","0,000","0,000","27.408,321"
07/01/2024,"20.967,803","0,000","671,408","1.488,849","0,000","0,000","2.988,205","0,000","0,000","11.512,973","332,906","1.662,772","0,000","3.592,071","1.057,679","33,300","0,000","0,000","22,000","50,000","0,000","0,000","23.412,163"
08/01/2024,"35.099,853","0,000","508,528","2.747,902","0,000","0,000","7.892,346","0,000","0,000","23.976,782","546,866","2.491,149","0,000","8.962,840","1.731,964","16,000","0,000","0,000","193,000","146,428","120,338","0,000","49.334,143"
09/01/2024,"46.833,473","0,000","573,175","3.310,523","0,000","0,000","9.877,851","0,000","0,000","27.645,788","591,286","2.291,620","0,000","6.979,667","2.403,641","306,438","0,000","0,000","107,000","465,000","72,099","0,000","54.624,088"
10/01/2024,"44.129,849","0,000","834,612","3.798,838","0,000","0,000","8.020,778","0,000","0,000","25.096,788","790,881","3.853,404","0,000","4.944,299","2.173,222","75,076","0,000","0,000","17,000","632,500","572,451","0,000","50.809,849"
11/01/2024,"49.377,750","0,000","764,658","3.128,440","0,000","0,000","12.802,948","0,000","0,000","24.090,411","831,222","3.664,786","0,000","5.304,542","1.635,000","316,100","0,000","0,000","0,000","1.089,500","170,043","0,000","53.797,650"
12/01/2024,"41.750,126","0,000","399,414","5.138,644","0,000","0,000","7.151,722","0,000","0,000","18.835,694","483,830","3.700,429","0,000","5.946,696","2.541,260","748,395","0,000","0,000","0,000","835,000","249,520","0,000","46.030,604"
13/01/2024,"36.271,359","0,000","1.112,080","1.804,706","0,000","0,000","5.156,703","0,000","0,000","30.297,818","2.189,407","1.698,823","0,000","7.603,994","870,000","31,000","0,000","0,000","44,000","476,000","265,228","0,000","51.549,759"
14/01/2024,"28.616,594","0,000","1.178,412","1.591,614","0,000","0,000","3.676,820","0,000","0,000","16.745,520","757,155","2.144,986","0,000","3.565,388","1.500,000","0,000","0,000","0,000","50,000","842,500","527,489","0,000","32.579,884"
15/01/2024,"46.244,997","0,000","816,518","2.129,409","0,000","0,000","9.461,301","0,000","0,000","34.010,003","1.844,185","2.304,651","0,000","6.896,298","1.866,000","40,000","0,000","0,000","1.323,011","537,500","123,579","0,000","61.352,455"
