Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
01/01/2024,,"116,33","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","116,38","0,00","0,00","116,38","116,38","116,38","116,38"
02/01/2024,,"115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","115,26","0,00","0,00","115,26","115,26","115,26","115,26"
03/01/2024,,"102,73","103,18","102,30","103,18","103,18","103,18","103,18","103,18","102,30","103,18","103,18","102,30","103,18","102,30","103,18","103,18","0,00","0,00","102,30","103,18","102,30","103,18"
04/01/2024,,"90,12","90,88","87,94","90,88","90,88","90,88","90,88","90,88","87,94","90,88","90,88","87,94","90,88","87,94","90,88","90,88","0,00","0,00","87,94","90,88","87,94","90,88"
05/01/2024,,"106,87","107,37","105,95","107,37","107,37","107,37","107,37","107,37","106,87","107,37","107,37","105,95","107,37","106,87","107,37","107,37","0,00","0,00","105,95","107,37","106,87","107,37"
06/01/2024,,"105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","105,60","0,00","0,00","105,60","105,60","105,60","105,60"
07/01/2024,,"99,35","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","99,56","0,00","0,00","99,56","99,56","99,56","99,56"
08/01/2024,,"106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","106,04","0,00","0,00","106,04","106,04","106,04","106,04"
09/01/2024,,"108,67","108,69","108,69","108,69","108,69","108,69","108,69","108,69","108,69","108,69","108,69","109,23","108,69","108,69","108,69","108,69","0,00","0,00","109,23","108,69","108,69","108,69"
10/01/2024,,"113,46","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","113,51","0,00","0,00","113,51","113,51","113,51","113,51"
11/01/2024,,"112,22","112,26","111,56","112,26","112,27","112,26","112,27","112,26","112,27","112,26","112,27","111,56","112,26","112,27","112,26","112,26","0,00","0,00","111,56","112,27","112,27","112,26"
12/01/2024,,"102,25","102,29","101,92","102,29","101,94","102,29","101,94","102,29","101,81","102,29","101,94","101,92","102,29","101,81","102,29","102,29","0,00","0,00","101,92","101,94","101,81","102,29"
13/01/2024,,"107,27","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","107,29","0,00","0,00","107,29","107,29","107,29","107,29"
14/01/2024,,"96,68","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","96,83","0,00","0,00","96,83","96,83","96,83","96,83"
15/01/2024,,"105,84","106,22","105,33","106,22","106,22","106,22","106,22","106,22","105,33","106,22","106,22","105,33","106,22","105,33","106,22","106,22","0,00","0,00","105,33","106,22","105,33","106,22"
16/01/2024,,"108,47","109,39","103,49","109,39","109,39","109,39","109,39","109,39","109,39","109,39","109,39","103,49","109,39","109,39","109,39","109,39","0,00","0,00","103,49","109,39","109,39","109,39"
17/01/2024,,"101,05","101,33","98,11","101,33","101,33","101,33","101,33","101,33","101,33","101,33","101,33","98,11","101,33","101,33","101,33","101,33","0,00","0,00","98,11","101,33","101,33","101,33"
18/01/2024,,"96,99","97,66","92,48","97,66","85,20","97,66","97,66","97,66","92,99","97,66","85,20","92,48","97,66","92,99","97,66","97,66","0,00","0,00","92,48","97,66","92,99","97,66"
19/01/2024,,"88,65","88,94","88,09","88,94","88,22","88,94","88,22","88,94","88,09","88,94","88,22","88,09","88,94","88,09","88,94","88,94","0,00","0,00","88,09","88,22","88,09","88,94"
20/01/2024,,"94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","94,48","0,00","0,00","94,48","94,48","94,48","94,48"
21/01/2024,,"82,94","83,77","81,33","83,77","82,53","83,77","82,53","83,77","81,33","83,77","82,53","81,33","83,77","81,33","83,77","83,77","0,00","0,00","81,33","82,53","81,33","83,77"
22/01/2024,,"101,58","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","101,60","0,00","0,00","101,60","101,60","101,60","101,60"
23/01/2024,,"87,94","88,58","88,58","88,58","75,34","88,58","88,58","88,58","88,58","88,58","75,34","88,58","88,58","88,58","88,58","88,58","0,00","0,00","88,58","88,58","88,58","88,58"
24/01/2024,,"100,45","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","100,54","0,00","0,00","100,54","100,54","100,54","100,54"
25/01/2024,,"89,79","90,63","90,63","90,63","69,37","90,63","90,63","90,63","90,63","90,63","69,37","90,63","90,63","90,63","90,63","90,63","0,00","0,00","90,63","90,63","90,63","90,63"
26/01/2024,,"105,35","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,40","0,00","0,00","105,40","105,40","105,40","105,40"
27/01/2024,,"81,64","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","81,86","0,00","0,00","81,86","81,86","81,86","81,86"
