Data,Ora,MWh
01/01/2024,1,"185,882"
01/01/2024,2,"191,733"
01/01/2024,3,"188,539"
01/01/2024,4,"520,089"
01/01/2024,5,"564,207"
01/01/2024,6,"556,159"
01/01/2024,7,"111,483"
01/01/2024,8,"191,908"
01/01/2024,9,"206,945"
01/01/2024,10,"190,836"
01/01/2024,11,"220,039"
01/01/2024,12,"215,107"
01/01/2024,13,"213,541"
01/01/2024,14,"178,734"
01/01/2024,15,"207,014"
01/01/2024,16,"217,058"
01/01/2024,17,"247,342"
01/01/2024,18,"-279,750"
01/01/2024,19,"17,206"
01/01/2024,20,"347,637"
01/01/2024,21,"114,241"
01/01/2024,22,"53,163"
01/01/2024,23,"30,443"
01/01/2024,24,"-85,538"
02/01/2024,1,"512,488"
02/01/2024,2,"177,828"
02/01/2024,3,"192,895"
02/01/2024,4,"190,319"
02/01/2024,5,"328,750"
02/01/2024,6,"150,567"
02/01/2024,7,"17,432"
02/01/2024,8,"-8,554"
02/01/2024,9,"111,108"
02/01/2024,10,"163,433"
02/01/2024,11,"-22,963"
02/01/2024,12,"42,063"
02/01/2024,13,"357,991"
02/01/2024,14,"362,462"
02/01/2024,15,"-147,058"
02/01/2024,16,"-58,043"
02/01/2024,17,"21,211"
02/01/2024,18,"30,587"
02/01/2024,19,"-20,191"
02/01/2024,20,"-43,698"
02/01/2024,21,"-107,068"
02/01/2024,22,"-310,407"
02/01/2024,23,"91,706"
02/01/2024,24,"231,305"
03/01/2024,1,"-36,431"
03/01/2024,2,"156,270"
03/01/2024,3,"15,289"
03/01/2024,4,"11,787"
03/01/2024,5,"2,912"
03/01/2024,6,"-34,632"
03/01/2024,7,"-105,146"
03/01/2024,8,"-738,666"
03/01/2024,9,"-742,911"
03/01/2024,10,"-142,482"
03/01/2024,11,"69,562"
03/01/2024,12,"74,729"
03/01/2024,13,"123,504"
03/01/2024,14,"26,470"
03/01/2024,15,"4,111"
03/01/2024,16,"-274,694"
03/01/2024,17,"-554,900"
03/01/2024,18,"-794,457"
03/01/2024,19,"-802,110"
03/01/2024,20,"-811,466"
03/01/2024,21,"-853,226"
03/01/2024,22,"-171,321"
03/01/2024,23,"28,370"
03/01/2024,24,"335,804"
04/01/2024,1,"36,282"
04/01/2024,2,"43,003"
04/01/2024,3,"33,266"
04/01/2024,4,"48,146"
04/01/2024,5,"55,955"
04/01/2024,6,"143,310"
04/01/2024,7,"-72,002"
04/01/2024,8,"-288,425"
04/01/2024,9,"-294,506"
04/01/2024,10,"-92,265"
04/01/2024,11,"-102,493"
04/01/2024,12,"-44,648"
04/01/2024,13,"6,802"
04/01/2024,14,"75,321"
04/01/2024,15,"266,055"
04/01/2024,16,"56,584"
04/01/2024,17,"-74,638"
04/01/2024,18,"72,742"
04/01/2024,19,"91,705"
04/01/2024,20,"84,637"
04/01/2024,21,"68,875"
04/01/2024,22,"-15,503"
04/01/2024,23,"-48,864"
04/01/2024,24,"-35,136"
05/01/2024,1,"188,011"
05/01/2024,2,"190,043"
05/01/2024,3,"595,465"
05/01/2024,4,"612,056"
05/01/2024,5,"623,852"
05/01/2024,6,"744,148"
05/01/2024,7,"290,908"
05/01/2024,8,"118,070"
05/01/2024,9,"17,552"
05/01/2024,10,"-121,773"
05/01/2024,11,"21,469"
05/01/2024,12,"0,000"
05/01/2024,13,"-8,777"
05/01/2024,14,"-86,581"
05/01/2024,15,"-57,275"
05/01/2024,16,"-43,937"
05/01/2024,17,"-70,205"
05/01/2024,18,"78,441"
05/01/2024,19,"74,865"
05/01/2024,20,"91,276"
05/01/2024,21,"66,852"
05/01/2024,22,"357,366"
05/01/2024,23,"321,295"
05/01/2024,24,"179,782"
06/01/2024,1,"195,836"
06/01/2024,2,"190,648"
06/01/2024,3,"192,352"
06/01/2024,4,"199,641"
06/01/2024,5,"198,944"
06/01/2024,6,"273,812"
06/01/2024,7,"76,132"
06/01/2024,8,"424,561"
06/01/2024,9,"75,083"
06/01/2024,10,"0,300"
06/01/2024,11,"72,739"
06/01/2024,12,"42,046"
06/01/2024,13,"138,645"
06/01/2024,14,"-47,148"
06/01/2024,15,"-34,125"
06/01/2024,16,"194,848"
06/01/2024,17,"312,325"
06/01/2024,18,"-117,717"
06/01/2024,19,"-106,626"
06/01/2024,20,"-373,972"
06/01/2024,21,"-8,131"
06/01/2024,22,"516,911"
06/01/2024,23,"352,332"
06/01/2024,24,"245,768"
07/01/2024,1,"-51,474"
07/01/2024,2,"-58,899"
07/01/2024,3,"-7,584"
07/01/2024,4,"-16,543"
07/01/2024,5,"21,114"
07/01/2024,6,"-17,705"
07/01/2024,7,"-57,562"
07/01/2024,8,"-4,362"
07/01/2024,9,"18,973"
07/01/2024,10,"-20,857"
07/01/2024,11,"-2,920"
07/01/2024,12,"-70,676"
07/01/2024,13,"-42,402"
07/01/2024,14,"-65,206"
07/01/2024,15,"-37,807"
07/01/2024,16,"126,971"
07/01/2024,17,"280,746"
07/01/2024,18,"37,953"
07/01/2024,19,"-85,490"
07/01/2024,20,"59,060"
07/01/2024,21,"28,770"
07/01/2024,22,"-34,070"
07/01/2024,23,"99,151"
07/01/2024,24,"94,886"
08/01/2024,1,"142,582"
08/01/2024,2,"119,983"
08/01/2024,3,"140,851"
08/01/2024,4,"148,989"
08/01/2024,5,"148,498"
08/01/2024,6,"327,561"
08/01/2024,7,"560,886"
08/01/2024,8,"-35,903"
08/01/2024,9,"-87,342"
08/01/2024,10,"-120,767"
08/01/2024,11,"-106,812"
08/01/2024,12,"152,356"
08/01/2024,13,"284,955"
08/01/2024,14,"662,359"
08/01/2024,15,"261,264"
08/01/2024,16,"-136,728"
08/01/2024,17,"-119,739"
08/01/2024,18,"-101,573"
08/01/2024,19,"-6,319"
08/01/2024,20,"3,651"
08/01/2024,21,"-55,436"
08/01/2024,22,"106,843"
08/01/2024,23,"104,086"
08/01/2024,24,"-153,129"
09/01/2024,1,"112,352"
09/01/2024,2,"148,941"
09/01/2024,3,"424,446"
09/01/2024,4,"230,620"
09/01/2024,5,"177,745"
09/01/2024,6,"247,786"
09/01/2024,7,"259,405"
09/01/2024,8,"-15,135"
09/01/2024,9,"0,000"
09/01/2024,10,"0,000"
09/01/2024,11,"241,847"
09/01/2024,12,"240,928"
09/01/2024,13,"526,170"
09/01/2024,14,"340,108"
09/01/2024,15,"228,931"
09/01/2024,16,"-134,625"
09/01/2024,17,"-97,804"
09/01/2024,18,"55,404"
09/01/2024,19,"-5,268"
09/01/2024,20,"10,041"
09/01/2024,21,"-66,966"
09/01/2024,22,"25,073"
09/01/2024,23,"104,196"
09/01/2024,24,"119,006"
10/01/2024,1,"231,348"
10/01/2024,2,"223,335"
10/01/2024,3,"204,608"
10/01/2024,4,"286,477"
10/01/2024,5,"355,534"
10/01/2024,6,"364,769"
10/01/2024,7,"570,421"
10/01/2024,8,"188,386"
10/01/2024,9,"15,328"
10/01/2024,10,"-27,113"
10/01/2024,11,"73,018"
10/01/2024,12,"-261,699"
10/01/2024,13,"673,546"
10/01/2024,14,"81,123"
10/01/2024,15,"-272,897"
10/01/2024,16,"-239,068"
10/01/2024,17,"-161,647"
10/01/2024,18,"-403,779"
10/01/2024,19,"-45,122"
10/01/2024,20,"-90,304"
10/01/2024,21,"-26,509"
10/01/2024,22,"-670,675"
10/01/2024,23,"200,623"
10/01/2024,24,"428,109"
11/01/2024,1,"124,913"
11/01/2024,2,"133,252"
11/01/2024,3,"156,582"
11/01/2024,4,"152,803"
11/01/2024,5,"120,210"
11/01/2024,6,"541,413"
11/01/2024,7,"526,946"
11/01/2024,8,"153,248"
11/01/2024,9,"0,000"
11/01/2024,10,"-82,058"
11/01/2024,11,"-59,728"
11/01/2024,12,"-345,922"
11/01/2024,13,"235,479"
11/01/2024,14,"230,962"
11/01/2024,15,"43,900"
11/01/2024,16,"-386,599"
11/01/2024,17,"-84,885"
11/01/2024,18,"-41,423"
11/01/2024,19,"193,798"
11/01/2024,20,"315,282"
11/01/2024,21,"-36,900"
11/01/2024,22,"-436,470"
11/01/2024,23,"-365,938"
11/01/2024,24,"126,411"
12/01/2024,1,"167,628"
12/01/2024,2,"115,255"
12/01/2024,3,"107,129"
12/01/2024,4,"202,282"
12/01/2024,5,"206,798"
12/01/2024,6,"174,093"
12/01/2024,7,"-189,478"
12/01/2024,8,"231,069"
12/01/2024,9,"2,758"
12/01/2024,10,"-30,069"
12/01/2024,11,"-130,579"
12/01/2024,12,"98,408"
12/01/2024,13,"331,844"
12/01/2024,14,"287,737"
12/01/2024,15,"258,646"
12/01/2024,16,"-440,341"
12/01/2024,17,"-336,306"
12/01/2024,18,"95,045"
12/01/2024,19,"37,980"
12/01/2024,20,"73,472"
12/01/2024,21,"-266,975"
12/01/2024,22,"152,936"
12/01/2024,23,"121,893"
12/01/2024,24,"164,097"
13/01/2024,1,"187,354"
13/01/2024,2,"175,493"
13/01/2024,3,"186,398"
13/01/2024,4,"222,530"
13/01/2024,5,"211,298"
13/01/2024,6,"372,417"
13/01/2024,7,"329,271"
13/01/2024,8,"68,109"
13/01/2024,9,"-202,145"
13/01/2024,10,"-179,539"
13/01/2024,11,"719,530"
13/01/2024,12,"124,110"
13/01/2024,13,"132,010"
13/01/2024,14,"116,934"
13/01/2024,15,"275,620"
13/01/2024,16,"533,815"
13/01/2024,17,"0,763"
13/01/2024,18,"-4,203"
13/01/2024,19,"138,499"
13/01/2024,20,"224,926"
13/01/2024,21,"24,630"
13/01/2024,22,"50,978"
13/01/2024,23,"-84,799"
13/01/2024,24,"271,819"
14/01/2024,1,"41,436"
14/01/2024,2,"-0,665"
14/01/2024,3,"6,689"
14/01/2024,4,"15,467"
14/01/2024,5,"-6,173"
14/01/2024,6,"-18,454"
14/01/2024,7,"-46,958"
14/01/2024,8,"-3,414"
14/01/2024,9,"-348,073"
14/01/2024,10,"-419,425"
14/01/2024,11,"5,733"
14/01/2024,12,"-104,832"
14/01/2024,13,"21,595"
14/01/2024,14,"96,278"
14/01/2024,15,"173,396"
14/01/2024,16,"350,234"
14/01/2024,17,"-4,810"
14/01/2024,18,"-3,080"
14/01/2024,19,"-13,585"
14/01/2024,20,"266,862"
14/01/2024,21,"11,160"
14/01/2024,22,"-91,477"
14/01/2024,23,"312,470"
14/01/2024,24,"298,782"
15/01/2024,1,"375,186"
15/01/2024,2,"403,618"
15/01/2024,3,"422,290"
15/01/2024,4,"401,152"
15/01/2024,5,"389,321"
15/01/2024,6,"538,630"
15/01/2024,7,"457,151"
15/01/2024,8,"306,050"
15/01/2024,9,"32,037"
15/01/2024,10,"-8,674"
15/01/2024,11,"-49,475"
15/01/2024,12,"239,697"
15/01/2024,13,"532,195"
15/01/2024,14,"477,218"
15/01/2024,15,"424,797"
15/01/2024,16,"-256,757"
15/01/2024,17,"57,798"
15/01/2024,18,"-20,185"
15/01/2024,19,"-307,546"
15/01/2024,20,"-112,628"
15/01/2024,21,"-26,092"
15/01/2024,22,"-638,078"
15/01/2024,23,"172,417"
15/01/2024,24,"107,776"
16/01/2024,1,"35,445"
16/01/2024,2,"46,393"
16/01/2024,3,"76,532"
16/01/2024,4,"-141,929"
16/01/2024,5,"12,095"
16/01/2024,6,"-61,489"
16/01/2024,7,"-258,909"
16/01/2024,8,"-7,765"
16/01/2024,9,"0,000"
16/01/2024,10,"0,000"
16/01/2024,11,"0,000"
16/01/2024,12,"-231,678"
16/01/2024,13,"0,000"
16/01/2024,14,"0,000"
16/01/2024,15,"-68,966"
16/01/2024,16,"0,000"
16/01/2024,17,"-572,021"
16/01/2024,18,"-473,415"
16/01/2024,19,"-483,803"
16/01/2024,20,"-148,650"
16/01/2024,21,"0,000"
16/01/2024,22,"-153,550"
16/01/2024,23,"0,000"
16/01/2024,24,"26,658"
17/01/2024,1,"234,168"
17/01/2024,2,"190,004"
17/01/2024,3,"288,323"
17/01/2024,4,"284,758"
17/01/2024,5,"264,206"
17/01/2024,6,"49,128"
17/01/2024,7,"519,589"
17/01/2024,8,"-281,375"
17/01/2024,9,"0,000"
17/01/2024,10,"0,000"
17/01/2024,11,"0,000"
17/01/2024,12,"0,000"
17/01/2024,13,"0,000"
17/01/2024,14,"0,000"
17/01/2024,15,"0,000"
17/01/2024,16,"0,000"
17/01/2024,17,"-521,620"
17/01/2024,18,"-368,183"
17/01/2024,19,"-188,574"
17/01/2024,20,"-145,083"
17/01/2024,21,"-69,260"
17/01/2024,22,"0,000"
17/01/2024,23,"143,563"
17/01/2024,24,"138,616"
18/01/2024,1,"-34,865"
18/01/2024,2,"-51,122"
18/01/2024,3,"-58,174"
18/01/2024,4,"-47,650"
18/01/2024,5,"-64,892"
18/01/2024,6,"-16,226"
18/01/2024,7,"256,025"
18/01/2024,8,"190,934"
18/01/2024,9,"31,082"
18/01/2024,10,"41,900"
18/01/2024,11,"337,755"
18/01/2024,12,"104,217"
18/01/2024,13,"257,752"
18/01/2024,14,"81,632"
18/01/2024,15,"1,796"
18/01/2024,16,"32,836"
18/01/2024,17,"256,432"
18/01/2024,18,"62,416"
18/01/2024,19,"-118,485"
18/01/2024,20,"-61,260"
18/01/2024,21,"90,091"
18/01/2024,22,"117,422"
18/01/2024,23,"62,053"
18/01/2024,24,"91,229"
19/01/2024,1,"3,387"
19/01/2024,2,"-8,969"
19/01/2024,3,"10,540"
19/01/2024,4,"-10,396"
19/01/2024,5,"6,950"
19/01/2024,6,"79,154"
19/01/2024,7,"152,965"
19/01/2024,8,"-468,443"
19/01/2024,9,"-390,377"
19/01/2024,10,"-517,340"
19/01/2024,11,"-364,837"
19/01/2024,12,"218,519"
19/01/2024,13,"232,749"
19/01/2024,14,"164,587"
19/01/2024,15,"99,231"
19/01/2024,16,"-439,839"
19/01/2024,17,"-436,225"
19/01/2024,18,"-108,877"
19/01/2024,19,"-132,685"
19/01/2024,20,"-11,670"
19/01/2024,21,"-314,960"
19/01/2024,22,"-668,325"
19/01/2024,23,"78,879"
19/01/2024,24,"56,969"
20/01/2024,1,"-128,528"
20/01/2024,2,"-46,066"
20/01/2024,3,"-13,108"
20/01/2024,4,"-9,272"
20/01/2024,5,"24,338"
20/01/2024,6,"47,238"
20/01/2024,7,"-15,825"
20/01/2024,8,"-609,113"
20/01/2024,9,"-573,307"
20/01/2024,10,"-606,436"
20/01/2024,11,"-395,082"
20/01/2024,12,"-74,474"
20/01/2024,13,"9,508"
20/01/2024,14,"102,870"
20/01/2024,15,"250,699"
