Data,Ora,MWh
01/01/2024,1,"64,761"
01/01/2024,2,"109,290"
01/01/2024,3,"12,747"
01/01/2024,4,"145,210"
01/01/2024,5,"57,915"
01/01/2024,6,"256,896"
01/01/2024,7,"60,359"
01/01/2024,8,"33,563"
01/01/2024,9,"-27,822"
01/01/2024,10,"77,639"
01/01/2024,11,"-35,325"
01/01/2024,12,"-162,939"
01/01/2024,13,"-232,583"
01/01/2024,14,"-124,106"
01/01/2024,15,"-172,206"
01/01/2024,16,"78,384"
01/01/2024,17,"-196,084"
01/01/2024,18,"15,817"
01/01/2024,19,"-162,815"
01/01/2024,20,"-554,169"
01/01/2024,21,"-15,650"
01/01/2024,22,"2,237"
01/01/2024,23,"-23,471"
01/01/2024,24,"322,310"
02/01/2024,1,"-251,280"
02/01/2024,2,"162,006"
02/01/2024,3,"107,087"
02/01/2024,4,"39,201"
02/01/2024,5,"-50,886"
02/01/2024,6,"-24,783"
02/01/2024,7,"10,721"
02/01/2024,8,"42,754"
02/01/2024,9,"-67,638"
02/01/2024,10,"158,679"
02/01/2024,11,"228,872"
02/01/2024,12,"348,496"
02/01/2024,13,"94,204"
02/01/2024,14,"82,046"
02/01/2024,15,"175,037"
02/01/2024,16,"152,665"
02/01/2024,17,"-200,744"
02/01/2024,18,"256,877"
02/01/2024,19,"14,869"
02/01/2024,20,"216,612"
02/01/2024,21,"-143,019"
02/01/2024,22,"243,395"
02/01/2024,23,"-22,602"
02/01/2024,24,"-201,342"
03/01/2024,1,"163,046"
03/01/2024,2,"20,183"
03/01/2024,3,"10,412"
03/01/2024,4,"-45,774"
03/01/2024,5,"8,116"
03/01/2024,6,"262,874"
03/01/2024,7,"-116,926"
03/01/2024,8,"587,422"
03/01/2024,9,"478,026"
03/01/2024,10,"63,187"
03/01/2024,11,"6,971"
03/01/2024,12,"72,995"
03/01/2024,13,"51,638"
03/01/2024,14,"95,685"
03/01/2024,15,"94,167"
03/01/2024,16,"5,600"
03/01/2024,17,"293,616"
03/01/2024,18,"431,786"
03/01/2024,19,"443,715"
03/01/2024,20,"496,377"
03/01/2024,21,"590,746"
03/01/2024,22,"168,870"
03/01/2024,23,"-228,339"
03/01/2024,24,"-380,656"
04/01/2024,1,"-160,253"
04/01/2024,2,"-246,700"
04/01/2024,3,"-10,378"
04/01/2024,4,"-105,991"
