Data,Ora,MWh
01/01/2024,1,"-58,861"
01/01/2024,2,"-40,773"
01/01/2024,3,"-138,952"
01/01/2024,4,"-214,012"
01/01/2024,5,"-164,553"
01/01/2024,6,"-164,819"
01/01/2024,7,"-46,436"
01/01/2024,8,"-11,433"
01/01/2024,9,"-113,487"
01/01/2024,10,"-137,734"
01/01/2024,11,"-234,729"
01/01/2024,12,"84,807"
01/01/2024,13,"-192,936"
01/01/2024,14,"-5,551"
01/01/2024,15,"150,312"
01/01/2024,16,"-248,551"
01/01/2024,17,"-137,822"
01/01/2024,18,"-269,286"
01/01/2024,19,"-272,615"
01/01/2024,20,"-166,074"
01/01/2024,21,"-70,431"
01/01/2024,22,"-234,850"
01/01/2024,23,"-119,422"
01/01/2024,24,"-57,850"
02/01/2024,1,"-174,045"
02/01/2024,2,"-113,757"
02/01/2024,3,"-10,611"
02/01/2024,4,"-47,548"
02/01/2024,5,"-222,165"
02/01/2024,6,"-320,346"
02/01/2024,7,"-104,680"
02/01/2024,8,"-72,777"
02/01/2024,9,"-203,320"
02/01/2024,10,"-87,802"
02/01/2024,11,"-135,950"
02/01/2024,12,"-107,073"
02/01/2024,13,"-181,043"
02/01/2024,14,"-38,411"
02/01/2024,15,"-74,882"
02/01/2024,16,"-218,449"
02/01/2024,17,"19,044"
02/01/2024,18,"40,185"
02/01/2024,19,"-59,914"
02/01/2024,20,"63,997"
02/01/2024,21,"-207,373"
02/01/2024,22,"24,017"
02/01/2024,23,"176,849"
02/01/2024,24,"159,105"
03/01/2024,1,"-86,648"
03/01/2024,2,"-67,420"
03/01/2024,3,"-14,881"
03/01/2024,4,"9,925"
03/01/2024,5,"9,750"
03/01/2024,6,"-54,388"
03/01/2024,7,"-104,948"
03/01/2024,8,"-46,210"
03/01/2024,9,"-377,146"
03/01/2024,10,"-430,256"
03/01/2024,11,"-194,821"
03/01/2024,12,"-134,746"
03/01/2024,13,"-118,984"
03/01/2024,14,"-50,437"
03/01/2024,15,"-6,803"
03/01/2024,16,"51,083"
03/01/2024,17,"-108,786"
03/01/2024,18,"-169,423"
03/01/2024,19,"-250,704"
03/01/2024,20,"-186,358"
03/01/2024,21,"-290,076"
03/01/2024,22,"-272,189"
03/01/2024,23,"-103,037"
03/01/2024,24,"-22,847"
04/01/2024,1,"-169,761"
04/01/2024,2,"-164,758"
04/01/2024,3,"-126,623"
04/01/2024,4,"-111,678"
04/01/2024,5,"-169,076"
04/01/2024,6,"-124,149"
04/01/2024,7,"-3,133"
04/01/2024,8,"-54,979"
04/01/2024,9,"-78,396"
04/01/2024,10,"50,236"
04/01/2024,11,"60,583"
04/01/2024,12,"86,178"
04/01/2024,13,"112,592"
04/01/2024,14,"91,697"
04/01/2024,15,"72,115"
04/01/2024,16,"140,065"
04/01/2024,17,"-122,148"
04/01/2024,18,"-116,534"
04/01/2024,19,"-213,206"
04/01/2024,20,"-299,465"
04/01/2024,21,"-194,570"
04/01/2024,22,"-338,678"
04/01/2024,23,"-291,932"
04/01/2024,24,"-52,704"
05/01/2024,1,"-152,213"
05/01/2024,2,"-78,273"
05/01/2024,3,"-82,238"
05/01/2024,4,"-90,367"
05/01/2024,5,"-101,802"
05/01/2024,6,"-120,480"
05/01/2024,7,"-20,046"
05/01/2024,8,"69,573"
05/01/2024,9,"132,125"
05/01/2024,10,"-8,236"
05/01/2024,11,"15,678"
05/01/2024,12,"156,412"
05/01/2024,13,"-89,983"
05/01/2024,14,"-38,340"
05/01/2024,15,"-57,967"
05/01/2024,16,"-29,479"
05/01/2024,17,"-50,506"
05/01/2024,18,"-48,436"
05/01/2024,19,"-12,842"
05/01/2024,20,"31,942"
05/01/2024,21,"-65,750"
05/01/2024,22,"14,365"
05/01/2024,23,"146,131"
05/01/2024,24,"58,723"
06/01/2024,1,"36,767"
06/01/2024,2,"69,502"
06/01/2024,3,"39,914"
06/01/2024,4,"-4,980"
06/01/2024,5,"-11,554"
06/01/2024,6,"75,647"
06/01/2024,7,"4,825"
06/01/2024,8,"23,427"
06/01/2024,9,"-44,111"
06/01/2024,10,"-103,280"
06/01/2024,11,"-368,575"
06/01/2024,12,"-417,395"
06/01/2024,13,"-339,027"
06/01/2024,14,"-130,516"
06/01/2024,15,"-26,652"
06/01/2024,16,"-232,015"
06/01/2024,17,"-479,149"
06/01/2024,18,"-177,662"
06/01/2024,19,"-38,915"
06/01/2024,20,"-105,484"
06/01/2024,21,"-234,489"
06/01/2024,22,"-189,187"
06/01/2024,23,"-186,213"
06/01/2024,24,"33,808"
07/01/2024,1,"127,838"
07/01/2024,2,"-9,367"
07/01/2024,3,"27,751"
07/01/2024,4,"43,587"
07/01/2024,5,"-1,974"
07/01/2024,6,"37,415"
07/01/2024,7,"39,665"
07/01/2024,8,"-14,940"
07/01/2024,9,"-83,924"
07/01/2024,10,"-101,659"
07/01/2024,11,"-156,788"
07/01/2024,12,"-518,814"
07/01/2024,13,"-514,863"
07/01/2024,14,"-249,790"
07/01/2024,15,"-30,988"
07/01/2024,16,"-111,838"
07/01/2024,17,"-33,651"
07/01/2024,18,"-17,205"
07/01/2024,19,"167,248"
07/01/2024,20,"-90,778"
07/01/2024,21,"-185,408"
07/01/2024,22,"-154,794"
07/01/2024,23,"-76,109"
07/01/2024,24,"53,017"
08/01/2024,1,"-34,278"
08/01/2024,2,"-49,838"
08/01/2024,3,"-169,678"
08/01/2024,4,"-185,358"
08/01/2024,5,"-202,363"
08/01/2024,6,"-125,163"
08/01/2024,7,"-112,878"
08/01/2024,8,"-1,145"
08/01/2024,9,"229,471"
08/01/2024,10,"214,581"
08/01/2024,11,"13,387"
08/01/2024,12,"47,584"
08/01/2024,13,"77,439"
08/01/2024,14,"246,887"
08/01/2024,15,"197,204"
08/01/2024,16,"314,363"
08/01/2024,17,"427,661"
08/01/2024,18,"423,845"
08/01/2024,19,"243,743"
08/01/2024,20,"372,925"
08/01/2024,21,"90,585"
08/01/2024,22,"45,677"
08/01/2024,23,"36,882"
08/01/2024,24,"296,117"
09/01/2024,1,"-77,059"
09/01/2024,2,"6,110"
09/01/2024,3,"-180,870"
09/01/2024,4,"-19,003"
09/01/2024,5,"-73,705"
09/01/2024,6,"-152,380"
09/01/2024,7,"29,391"
09/01/2024,8,"13,605"
09/01/2024,9,"47,558"
09/01/2024,10,"24,584"
09/01/2024,11,"19,889"
09/01/2024,12,"173,612"
09/01/2024,13,"149,167"
09/01/2024,14,"336,604"
09/01/2024,15,"-184,344"
09/01/2024,16,"105,923"
09/01/2024,17,"133,902"
09/01/2024,18,"150,606"
09/01/2024,19,"-20,017"
09/01/2024,20,"163,869"
09/01/2024,21,"-35,209"
09/01/2024,22,"72,576"
09/01/2024,23,"-214,129"
