Data,Ora,MWh
01/01/2024,13,"-28,278"
01/01/2024,14,"14,545"
01/01/2024,15,"-5,252"
01/01/2024,16,"14,099"
01/01/2024,17,"6,235"
01/01/2024,18,"-7,797"
01/01/2024,19,"-13,546"
01/01/2024,20,"-1,267"
01/01/2024,21,"12,271"
01/01/2024,22,"59,248"
01/01/2024,23,"62,709"
01/01/2024,24,"93,589"
02/01/2024,13,"0,000"
02/01/2024,14,"0,000"
02/01/2024,15,"-214,026"
02/01/2024,16,"-132,817"
02/01/2024,17,"-26,790"
02/01/2024,18,"-91,663"
02/01/2024,19,"-113,088"
02/01/2024,20,"-49,458"
02/01/2024,21,"-201,567"
02/01/2024,22,"-175,122"
02/01/2024,23,"-17,777"
02/01/2024,24,"108,561"
03/01/2024,13,"33,849"
03/01/2024,14,"78,889"
03/01/2024,15,"117,306"
03/01/2024,16,"2,422"
03/01/2024,17,"48,505"
03/01/2024,18,"-16,213"
03/01/2024,19,"-23,089"
03/01/2024,20,"14,731"
03/01/2024,21,"-20,410"
03/01/2024,22,"6,187"
03/01/2024,23,"10,084"
03/01/2024,24,"72,549"
04/01/2024,13,"0,000"
04/01/2024,14,"-6,700"
04/01/2024,15,"-17,850"
04/01/2024,16,"-132,053"
04/01/2024,17,"71,982"
04/01/2024,18,"-64,503"
04/01/2024,19,"31,946"
04/01/2024,20,"29,154"
04/01/2024,21,"23,216"
04/01/2024,22,"125,276"
04/01/2024,23,"70,079"
04/01/2024,24,"79,262"
05/01/2024,13,"128,291"
05/01/2024,14,"57,474"
05/01/2024,15,"43,156"
05/01/2024,16,"158,813"
05/01/2024,17,"98,538"
05/01/2024,18,"-48,042"
05/01/2024,19,"132,047"
05/01/2024,20,"38,741"
05/01/2024,21,"27,887"
05/01/2024,22,"-156,310"
05/01/2024,23,"-186,349"
05/01/2024,24,"-235,544"
06/01/2024,13,"29,234"
06/01/2024,14,"198,172"
06/01/2024,15,"280,448"
06/01/2024,16,"345,362"
06/01/2024,17,"206,872"
06/01/2024,18,"75,575"
06/01/2024,19,"19,739"
06/01/2024,20,"42,987"
06/01/2024,21,"-53,220"
06/01/2024,22,"-52,841"
06/01/2024,23,"14,548"
06/01/2024,24,"-6,412"
07/01/2024,13,"171,520"
07/01/2024,14,"435,426"
07/01/2024,15,"289,328"
07/01/2024,16,"213,247"
07/01/2024,17,"74,722"
07/01/2024,18,"42,666"
07/01/2024,19,"-11,001"
07/01/2024,20,"-105,959"
07/01/2024,21,"41,524"
07/01/2024,22,"116,366"
07/01/2024,23,"-90,594"
07/01/2024,24,"33,158"
08/01/2024,13,"-8,372"
08/01/2024,14,"-115,417"
08/01/2024,15,"-96,532"
08/01/2024,16,"-40,217"
08/01/2024,17,"-37,438"
08/01/2024,18,"66,644"
08/01/2024,19,"-44,688"
08/01/2024,20,"-39,807"
08/01/2024,21,"128,229"
08/01/2024,22,"-15,511"
08/01/2024,23,"-137,550"
08/01/2024,24,"-90,205"
09/01/2024,13,"105,595"
09/01/2024,14,"46,375"
09/01/2024,15,"-96,300"
09/01/2024,16,"29,194"
09/01/2024,17,"-29,330"
09/01/2024,18,"10,839"
09/01/2024,19,"-93,485"
09/01/2024,20,"-82,937"
09/01/2024,21,"-54,830"
09/01/2024,22,"-56,777"
09/01/2024,23,"-122,775"
09/01/2024,24,"-72,515"
10/01/2024,13,"-132,286"
10/01/2024,14,"-112,116"
10/01/2024,15,"-124,682"
10/01/2024,16,"-333,835"
10/01/2024,17,"-49,938"
10/01/2024,18,"29,088"
10/01/2024,19,"1,523"
10/01/2024,20,"-62,785"
10/01/2024,21,"272,296"
